,Movie Name,Rating,Higest_rating
0,Jai Bhim,9.3,9.3
1,The Shawshank Redemption,9.3,9.3
2,The Godfather,9.2,9.3
3,The Dark Knight,9,9.3
4,The Godfather: Part II,9,9.3
5,12 Angry Men,9,9.3
6,The Lord of the Rings: The Return of the King,8.9,9.3
7,Pulp Fiction,8.9,9.3
8,Schindler's List,8.9,9.3
9,Inception,8.8,9.3
10,Fight Club,8.8,9.3
11,The Lord of the Rings: The Fellowship of the Ring,8.8,9.3
12,Forrest Gump,8.8,9.3
13,"Il buono, il brutto, il cattivo",8.8,9.3
14,Spider-Man: No Way Home,8.7,9.3
15,The Lord of the Rings: The Two Towers,8.7,9.3
16,The Matrix,8.7,9.3
17,Goodfellas,8.7,9.3
18,Star Wars: Episode V - The Empire Strikes Back,8.7,9.3
19,One Flew Over the Cuckoo's Nest,8.7,9.3
20,Gisaengchung,8.6,9.3
21,Interstellar,8.6,9.3
22,Cidade de Deus,8.6,9.3
23,Sen to Chihiro no kamikakushi,8.6,9.3
24,Saving Private Ryan,8.6,9.3
25,The Green Mile,8.6,9.3
26,La vita è bella,8.6,9.3
27,Se7en,8.6,9.3
28,The Silence of the Lambs,8.6,9.3
29,Star Wars,8.6,9.3
30,Seppuku,8.6,9.3
31,Shichinin no samurai,8.6,9.3
32,It's a Wonderful Life,8.6,9.3
33,Whiplash,8.5,9.3
34,The Intouchables,8.5,9.3
35,The Prestige,8.5,9.3
36,The Departed,8.5,9.3
37,The Pianist,8.5,9.3
38,Gladiator,8.5,9.3
39,American History X,8.5,9.3
40,The Usual Suspects,8.5,9.3
41,Léon,8.5,9.3
42,The Lion King,8.5,9.3
43,Terminator 2: Judgment Day,8.5,9.3
44,Nuovo Cinema Paradiso,8.5,9.3
45,Hotaru no haka,8.5,9.3
46,Back to the Future,8.5,9.3
47,Once Upon a Time in the West,8.5,9.3
48,Psycho,8.5,9.3
49,Rear Window,8.5,9.3
50,Casablanca,8.5,8.5
51,Modern Times,8.5,8.5
52,City Lights,8.5,8.5
53,Hamilton,8.4,8.5
54,Capharnaüm,8.4,8.5
55,Joker,8.4,8.5
56,Kimi no na wa.,8.4,8.5
57,Dangal,8.4,8.5
58,Spider-Man: Into the Spider-Verse,8.4,8.5
59,Avengers: Endgame,8.4,8.5
60,Avengers: Infinity War,8.4,8.5
61,Coco,8.4,8.5
62,Django Unchained,8.4,8.5
63,The Dark Knight Rises,8.4,8.5
64,3 Idiots,8.4,8.5
65,Taare Zameen Par,8.4,8.5
66,WALL·E,8.4,8.5
67,The Lives of Others,8.4,8.5
68,Oldeuboi,8.4,8.5
69,Memento,8.4,8.5
70,Mononoke-hime,8.4,8.5
71,Raiders of the Lost Ark,8.4,8.5
72,The Shining,8.4,8.5
73,Apocalypse Now,8.4,8.5
74,Alien,8.4,8.5
75,Tengoku to jigoku,8.4,8.5
76,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,8.5
77,Witness for the Prosecution,8.4,8.5
78,Paths of Glory,8.4,8.5
79,Pather Panchali,8.4,8.5
80,Sunset Blvd.,8.4,8.5
81,The Great Dictator,8.4,8.5
82,1917,8.3,8.5
83,Drishyam,8.3,8.5
84,Jagten,8.3,8.5
85,Jodaeiye Nader az Simin,8.3,8.5
86,Incendies,8.3,8.5
87,Kimetsu no Yaiba: Mugen Ressha-Hen,8.3,8.5
88,The Father,8.3,8.5
89,Inglourious Basterds,8.3,8.5
90,Eternal Sunshine of the Spotless Mind,8.3,8.5
91,Le fabuleux destin d'Amélie Poulain,8.3,8.5
92,Requiem for a Dream,8.3,8.5
93,American Beauty,8.3,8.5
94,Good Will Hunting,8.3,8.5
95,Bacheha-Ye aseman,8.3,8.5
96,Toy Story,8.3,8.5
97,Braveheart,8.3,8.5
98,Reservoir Dogs,8.3,8.5
99,Full Metal Jacket,8.3,8.5
100,Casablanca,8.5,8.5
101,Modern Times,8.5,8.5
102,City Lights,8.5,8.5
103,Hamilton,8.4,8.5
104,Capharnaüm,8.4,8.5
105,Joker,8.4,8.5
106,Kimi no na wa.,8.4,8.5
107,Dangal,8.4,8.5
108,Spider-Man: Into the Spider-Verse,8.4,8.5
109,Avengers: Endgame,8.4,8.5
110,Avengers: Infinity War,8.4,8.5
111,Coco,8.4,8.5
112,Django Unchained,8.4,8.5
113,The Dark Knight Rises,8.4,8.5
114,3 Idiots,8.4,8.5
115,Taare Zameen Par,8.4,8.5
116,WALL·E,8.4,8.5
117,The Lives of Others,8.4,8.5
118,Oldeuboi,8.4,8.5
119,Memento,8.4,8.5
120,Mononoke-hime,8.4,8.5
121,Raiders of the Lost Ark,8.4,8.5
122,The Shining,8.4,8.5
123,Apocalypse Now,8.4,8.5
124,Alien,8.4,8.5
125,Tengoku to jigoku,8.4,8.5
126,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,8.5
127,Witness for the Prosecution,8.4,8.5
128,Paths of Glory,8.4,8.5
129,Pather Panchali,8.4,8.5
130,Sunset Blvd.,8.4,8.5
131,The Great Dictator,8.4,8.5
132,1917,8.3,8.5
133,Drishyam,8.3,8.5
134,Jagten,8.3,8.5
135,Jodaeiye Nader az Simin,8.3,8.5
136,Incendies,8.3,8.5
137,Kimetsu no Yaiba: Mugen Ressha-Hen,8.3,8.5
138,The Father,8.3,8.5
